SpeciesLatinName,SpeciesCommonName,Order,n_tissues,n_samples,adult_mass_g,max_lifespan_y,maturity_y,gestation_y,span_y,arocm,arocm_mean_states,contrast,tissues,log_mass,log_lifespan,log_span,log_arocm,log_contrast,implied_cor,lq_resid,longevity_quotient,resid_M1,resid_M2,resid_M3,resid_M4,resid_M5,resid_student,cooks_d,p_outlier,q_outlier,signif,fit_lo,fit_hi
Otolemur crassicaudatus,Greater galago,Primates,2,7,1094.5,22.7,1.553424658,0.356164384,7.6100000057,0.1503694828323041,0.14112604697728823,1.105885140184456,Blood|Blood&Skin,6.9980529169629175,3.122364924487357,2.029463172622609,-1.8946597947548527,0.10064604615607262,0.3303343528406961,0.13697363559619724,1.1467979134785644,-0.2330561739582857,-0.520517057469922,-0.37082053636459333,-0.3700349084407304,-0.262490529065592,-1.4340609183176176,0.006800625220942354,0.15411303827517037,0.9764587990474115,False,-1.4422590750143847,-1.3112879905465742
Ovis aries,Sheep,Artiodactyla,2,430,80000.0,22.8,2.002739726,0.4,7.082571975343256,0.3637381163362424,0.22707579666906486,1.6092245772938616,Blood|Skin,11.289781913656018,3.126760535960395,1.9576371150914067,-1.0113211308961068,0.47575243396584205,0.7436852827496429,-0.41972111660701206,0.6572300848151135,1.2931768211156645,0.36543635571177324,0.3864397089401377,0.0672099294591339,0.16727830743235872,1.0094822585055028,0.008134952598766062,0.31474135550981497,0.9764587990474115,False,-1.503110547055719,-1.2631561003567477
Panthera leo nubica,Lion,Carnivora,1,7,175000.0,27.0,3.0,0.298630137,11.585995893,0.210088974,0.10704971605555552,1.9625364899704194,Blood,12.072541252905651,3.295836866004329,2.4497971181948253,-1.560224152279831,0.6742377641170677,0.7026612554585207,-0.3529808666531702,0.7025906361589594,0.8615299317703571,0.30198569494326843,0.11206740571666196,0.27702855958619615,0.12924870726451787,0.8313299588153004,0.004531717386543946,0.40741137223268475,0.9764587990474115,False,-1.9811833191499655,-1.7525648299990013
Panthera tigris,Tiger,Carnivora,1,8,161914.66,26.3,3.675342466,0.287671233,12.1655578357,0.166115388,0.15197684953703697,1.0930308695438344,Blood,11.994824685288398,3.269568939183719,2.4986088309753454,-1.7950726236678314,0.08895445174510522,0.5833796420066572,-0.3690883156752909,0.691364349444633,0.6150396393817452,0.11269349648074845,-0.07907970907732764,-0.30937998391330934,0.009669790942752554,0.30930942680110385,0.0005947641143432377,0.7576137980170828,0.9764587990474115,False,-2.024219826756364,-1.8029579301076575
Papio hamadryas,Olive baboon,Primates,5,281,18000.0,37.5,4.487671233,0.468493151,18.615020718416368,0.07571828262813728,0.05421910069526037,1.6216812048263727,Adipose|Cerebellum|Cortex|Heart|Liver,9.798127036878302,3.624340932976365,2.923968820319837,-2.5807356334563676,0.4834633918791328,0.4068868516230379,0.2728746641705029,1.313735576367322,-0.49968526286197523,-0.3013126574219447,-0.1602107675571176,0.053323735692130225,-0.17522641373465625,-0.8253818028633232,0.0021992740270239835,0.4107658982165191,0.9764587990474115,False,-2.3594684524152534,-2.2092297538181676
Peromyscus californicus,California mouse,Rodentia,1,16,42.0,5.5,0.126027397,0.082191781,2.6670000005,0.967916601,0.5185282758518519,1.8666611756319,Tail,3.7376696182833684,1.7047480922384253,0.9809542453873538,-0.03260935140893623,0.6241513674428995,0.7451956848120069,-0.8543884978612564,0.42554333219350926,1.1405939202684523,0.28075779244813437,0.22774160099795016,0.10626445808155194,0.13989828460754217,0.7762117672177529,0.005871882101119016,0.43912617918374985,0.9764587990474115,False,-0.4251350539673118,-0.19622172642520702
Peromyscus eremicus,Cactus mouse,Rodentia,1,17,25.0,7.4,0.353424658,0.071232877,2.4999999938,0.681636988,0.2414129267777778,2.8235314367712028,Tail,3.2188758248682006,2.0014800002101243,0.916290729394155,-0.38325803850747564,1.0379883840412187,0.49192912191927296,-0.4898307326547253,0.6127301006046124,0.7122307295017557,-0.14060835051657644,-0.19490541349942056,0.5125900399494819,-0.11535291152876526,-0.38852194053984185,0.001610547368689367,0.6983070040523749,0.9764587990474115,False,-0.3583547842401755,-0.12305657864652962
Peromyscus leucopus,White-footed mouse,Rodentia,3,31,23.0,7.9,0.2,0.071232877,2.6516774224903226,0.7280112967698793,0.38399856494094387,1.970859998071025,Brain|Liver|Tail,3.1354942159291497,2.066862759472976,0.9751924293636928,-0.3174387133648039,0.6784699947350464,0.5572732365952331,-0.41354686166753796,0.6613005440080764,0.765559619261433,-0.019642304025561885,-0.07611518940901818,0.151864397354604,-0.05032777120273657,-0.05421529136775611,3.0405210900898824e-05,0.9568523182844212,0.9764587990474115,False,-0.41120323826169375,-0.17939110497715033
Peromyscus maniculatus,Eastern deer mouse,Rodentia,3,50,20.5,8.3,0.134246575,0.065753425,2.2901666685,0.5886192764094368,0.4656517661102883,1.5988368418870078,Brain|Liver|Tail,3.0204248861443626,2.1162555148025524,0.8286245959221062,-0.5299756941277248,0.46927639105151125,0.38914454511920377,-0.34911021793152264,0.7053153875826236,0.5357854317987475,-0.37478142461692343,-0.427779406776378,-0.05899525509651232,-0.2188966576466032,-1.040794179762803,0.012382234885689819,0.3000292799840468,0.9764587990474115,False,-0.2757899803532953,-0.02898430605016111
Peromyscus polionotus,Oldfield mouse,Rodentia,1,16,14.0,5.5,0.076712329,0.065753425,1.826999999,1.251784746,0.678779116277778,1.8441709769511088,Tail,2.6390573296152584,1.7047480922384253,0.6026752768485243,0.2245703297815582,0.6120298415254262,0.6602031302131042,-0.7107585601221884,0.4912713971920509,1.2332031886644048,0.1565278472544257,0.10766040458555745,0.07823650728954223,0.050703014984745165,0.43453870260732125,0.002608310398363149,0.6646649030583394,0.9764587990474115,False,-0.06504764817340432,0.20857069193697672
Phoca vitulina,Harbor seal,Carnivora,2,68,115000.0,48.0,3.5,0.693150685,44.838411533647054,0.06520075698747949,0.039702614673069944,1.642627458761376,Blood|Skin,11.652687407345388,3.871201010907891,3.8030651723678868,-2.7302841998795127,0.4962970688294154,0.8439412866338976,0.2772739638173971,1.3195278244000606,-0.3714235691339436,0.4238635430604458,0.19294921165587997,0.09300894662979464,0.2689225975995123,1.1715558502052896,0.010123657404841257,0.2436583678710426,0.9764587990474115,False,-3.268008824311629,-3.04417663202935
